elasticnet,forward,subset
pc4None,Arboles AGUACATE,Arboles AGUACATE
pc6,CPermanentes PAPAYA,CPermanentes PAPAYA
percpasture,percbrush,e29
percperm,percinv,percbrush
v30 a,percpasture,percinv
