elasticnet,forward,subset
e30,e30 f,e30 f
s4,Forestal AGUACATE,Forestal AGUACATE
v3,produccion en libras producto vendido,Pastos TANZANIA
v44,productivity,productivity
v45,v30 a,v30 a
