elasticnet,forward
CATTLETRUE (+),GastosPecuarios (+)
CosechaLibras (+),librasvendida (+)
GastosPecuarios (+),perctemp2 (-)
s4 (+),v3 (+)
v3 (+),VentaLibras (+)
v45 (+), 
