elasticnet,forward
s4 (+),cantonSan Cristobal (-)
v3 (+),s9 (+)
biokSi (+),ReclassCONSERVACION (-)
GastosAgricolas (+),GastosPecuarios (+)
v44 (+),ArbolesLIMON REAL (+)
