UPA,c1,c2,c3,c4_1_a,c4_1_b,c4_1_c,c4_1_d,c4_2_a,c4_2_b,c4_2_c,c4_2_d,c4_3_a,c4_3_b,c4_3_c,c4_3_d,c4_4_a,c4_4_b,c4_4_c,c4_4_d,c4_5_a,c4_5_b,c4_5_c,c4_5_d,c4_6_a,c4_6_b,c4_6_c,c4_6_d,c4_7_a,c4_7_b,c4_7_c,c4_7_d,c4_8_a,c4_8_b,c4_8_c,c4_8_d,c5,c6_a,c6_b,c6_c,c7_a,c7_b,c7_c,c8_a,c8_b,c8_c,c9_a,c9_b,c9_c,c10_a,c10_b,c10_c,c11_a,c11_b,c11_c,c12,c13,c14_a,c14_b,c14_c,c15_a,c15_b,c15_c,c16_a,c16_b,c16_c,c17_a,c17_b,c17_c,c18_a,c18_b,c18_c,c19_a,c19_b,c19_c,c20_a,c20_b,c20_c,c21_a,c21_b,c21_c,c22_a,c22_b,c22_c,c23_a,c23_b,c23_c,c23_d,c23_e,c23_f,c24,c25,c26_a,c26_b,c26_c,c26_d,filter_$,CantidaPorcinosAgrupado,Machos.Adultos,Madres,Chanchillas,Lechones,Hembras,Mestizos_total,Criollo_total,Yorkshire_total,Landrace_total,Pic_total,Topigs_total,Duroc_total,Otros_total
11,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Si,Engorde,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,0,0,25,25,50,0,Monta Libre,No,No,No,No,No,Selected,[1-10],0,0,0,6,0,0,6,0,0,0,0,0,0
14,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Si,Engorde,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Otro productor de Galàpagos,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,100,0,0,0,0,0,No aplica,Si,No,No,No,No,Not Selected,[1-10],0,0,1,1,1,0,2,0,0,0,0,0,0
19,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Si,Completa(Engorde y Multiplicador),10,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,920.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,90,0,0,5,5,0,No aplica,Si,No,No,No,No,Selected,[1-10],0,1,8,1,9,0,0,10,0,0,0,0,0
21,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Si,Completa(Engorde y Multiplicador),10,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,0,0,100,0,0,0,Monta Libre,Si,No,No,No,No,Selected,[1-10],2,0,0,8,0,0,0,10,0,0,0,0,0
25,Si,Engorde,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,0,0,50,50,0,0,No aplica,No,No,No,No,No,Not Selected,[1-10],0,0,0,2,0,0,2,0,0,0,0,0,0
26,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Si,Completa(Engorde y Multiplicador),80,0,0,0,0,0,0,0,0,2,20,18,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,10,0,10,2500.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,20,0,80,0,0,0,Monta Libre,Si,Si,Si,No,No,Selected,[51-220],2,20,18,40,38,0,0,80,0,0,0,0,0
29,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Si,Completa(Engorde y Multiplicador),40,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,100,0,0,0,0,0,No aplica,Si,No,No,No,No,Not Selected,[31-50],0,0,0,40,0,0,0,40,0,0,0,0,0
33,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Si,Engorde,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,0,0,100,0,0,0,Monta Libre,Si,No,No,No,No,Selected,[1-10],0,0,2,1,2,0,3,0,0,0,0,0,0
38,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Si,Multiplicador,80,0,0,0,0,1,10,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,240,0,240,72000.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,80,0,0,0,20,0,Monta Libre,Si,No,No,No,No,Selected,[51-220],1,10,20,49,30,0,0,0,80,0,0,0,0
