UPA,USO_DE_SU,Reclass,ABANDONED,CONSERVATION,FARMING,CATTLE,FORESTRY,LODGING,AGUA,ENERGIA_EL,TELEFONO_F,INTERNET,ALCANTARIL,VIAS_DE_AC,RIEGO,RELIEVE
182,PECUARIO CONSERVACIONAL SIN APROVECHAMIENTO,PECUARIO,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,ONDULADO
183,AGRICOLA PECUARIO FORESTAL HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
184,AGRICOLA PECUARIO HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
185,HABITACIONAL SIN APROVECHAMIENTO,HABITACIONAL,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
186,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,PLANO
188,AGRICOLA PECUARIO HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,DE VERANO,NO TIENE,PLANO
189,AGRICOLA HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,ONDULADO
191,PECUARIO SIN APROVECHAMIENTO,PECUARIO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,PLANO
191,AGRICOLA PECUARIO HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,PLANO
193,INFRAESTRUCTURA ESPECIAL,HABITACIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,PLANO
193,INFRAESTRUCTURA ESPECIAL,HABITACIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,PLANO
193,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,PLANO
193,CONSERVACIONAL,CONSERVACION,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,PLANO
193,CONSERVACIONAL,CONSERVACION,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,COLINADO
193,AGRICOLA CONSERVACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,PLANO
195,SIN INFORMACION, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
195,AGRICOLA PECUARIO HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,LETRINA PRIVADA,LASTRADA,OCASIONAL,PLANO
195,PECUARIO SIN APROVECHAMIENTO,PECUARIO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
195,AGRICOLA PECUARIO CONSERVACIONAL HABITACIONAL,AGRICOLA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PUBLICO,LASTRADA,NO TIENE,PLANO
195,PECUARIO HABITACIONAL SIN APROVECHAMIENTO,PECUARIO,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NO TIENE,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,PLANO
196,AGRICOLA HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,LETRINA PRIVADA,CAMINO DE HERRADURA,NO TIENE,PLANO
198,FORESTAL SIN APROVECHAMIENTO,FORESTAL,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
198,AGRICOLA SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,ONDULADO
198,PECUARIO SIN APROVECHAMIENTO,PECUARIO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
198,AGRICOLA HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,ONDULADO
199,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,PLANO
200,AGRICOLA PECUARIO FORESTAL HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PUBLICO,ASFALTADA,NO TIENE,PLANO
200,PECUARIO SIN APROVECHAMIENTO,PECUARIO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,PLANO
201,AGRICOLA SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,PLANO
202,AGRICOLA PECUARIO FORESTAL HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,PLANO
203,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,ONDULADO
203,AGRICOLA CONSERVACIONAL HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,ASFALTADA,NO TIENE,ONDULADO
203,PECUARIO SIN APROVECHAMIENTO,PECUARIO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,PLANO
203,CONSERVACIONAL SIN APROVECHAMIENTO,CONSERVACION,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,ONDULADO
203,CONSERVACIONAL SIN APROVECHAMIENTO,CONSERVACION,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,PLANO
204,AGRICOLA FORESTAL HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PUBLICO,LASTRADA,NO TIENE,PLANO
205,AGRICOLA PECUARIO SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
206,AGRICOLA SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,ONDULADO
206,AGRICOLA PECUARIO SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
207,AGRICOLA HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
208,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,PLANO
208,CONSERVACIONAL SIN APROVECHAMIENTO,CONSERVACION,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,COLINADO
208,AGRICOLA PECUARIO HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
210,FORESTAL SIN APROVECHAMIENTO,FORESTAL,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
211,AGRICOLA,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
211,AGRICOLA PECUARIO,AGRICOLA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
212,AGRICOLA PECUARIO HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA SOLAR PRIVADA,NO TIENE,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,DE VERANO,NO TIENE,PLANO
212,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
213,AGRICOLA HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,PLANO
215,AGRICOLA PECUARIO HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,PLANO
215,PECUARIO SIN APROVECHAMIENTO,PECUARIO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
216,AGRICOLA PECUARIO SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
219,AGRICOLA PECUARIO HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,ONDULADO
220,PECUARIO HABITACIONAL SIN APROVECHAMIENTO,PECUARIO,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,DE VERANO,NO TIENE,PLANO
220,AGRICOLA SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
220,AGRICOLA SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,ONDULADO
220,AGRICOLA,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,ONDULADO
220,AGRICOLA PECUARIO SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
221,AGRICOLA SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
221,AGRICOLA,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
221,AGRICOLA PECUARIO,AGRICOLA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
221,HABITACIONAL NO UTILIZABLE,HABITACIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,COLINADO
222,PECUARIO HABITACIONAL,PECUARIO,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NO TIENE,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,SENDERO,NO TIENE,PLANO
222,PECUARIO,PECUARIO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
222,PECUARIO,PECUARIO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,PLANO
222,AGRICOLA HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,ONDULADO
223,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,COLINADO
224,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,ONDULADO
225,AGRICOLA PECUARIO HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,AGUA POTABLE PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PUBLICO,LASTRADA,NO TIENE,ONDULADO
228,AGRICOLA PECUARIO SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
229,AGRICOLA PECUARIO HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,AGUA DE POZO PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,ONDULADO
230,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,ONDULADO
231,AGRICOLA HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,DE VERANO,NO TIENE,PLANO
232,AGRICOLA PECUARIO HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PUBLICO,LASTRADA,NO TIENE,PLANO
233,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,ONDULADO
233,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,ONDULADO
234,AGRICOLA HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,COLINADO
235,AGRICOLA SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,ONDULADO
236,AGRICOLA SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,ONDULADO
236,AGRICOLA HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,ONDULADO
237,AGRICOLA HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
237,AGRICOLA PECUARIO SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
238,AGRICOLA SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,ONDULADO
239,AGRICOLA HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,ONDULADO
241,AGRICOLA PECUARIO FORESTAL HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,NO TIENE,DE VERANO,NO TIENE,ONDULADO
241,AGRICOLA PECUARIO,AGRICOLA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
241,AGRICOLA,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
241,AGRICOLA PECUARIO,AGRICOLA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,ONDULADO
242,AGRICOLA HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,ONDULADO
243,PECUARIO,PECUARIO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
243,PECUARIO SIN APROVECHAMIENTO,PECUARIO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
245,PECUARIO SIN APROVECHAMIENTO,PECUARIO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,ONDULADO
245,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,ONDULADO
246,AGRICOLA CONSERVACIONAL HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,ONDULADO
247,AGRICOLA PECUARIO HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,LETRINA PRIVADA,LASTRADA,NO TIENE,PLANO
248,AGRICOLA HABITACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,PLANO
249,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,ABRUPTO
250,PECUARIO SIN APROVECHAMIENTO,PECUARIO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
