UPA,af1,af2,af3,af4,af5,af5_a,af6,af7,af7_a,af8
709,Si,GUAYABO,Guayabo/Guayabillo,Estacas/cercas,0, ,,10,ARBOLES,100
709,Si,GUAYABO,Guayabo/Guayabillo,Lena/carbon,0, ,,40,ARBOLES,400
709,Si,CEDRELA,Cedro/Cedrela,Madera,0, ,,3,ARBOLES,300
713,Si,CEDRELA,Cedro/Cedrela,Madera,30,ARBOLES,6000,, ,
715,Si,JABONCILLO,Jaboncillo,Madera,0, ,,35,METROS,105
715,Si,CEDRELA,Cedro/Cedrela,Madera,0, ,,35,METROS,105
736,Si,CEDRELA,Cedro/Cedrela,Madera,0, ,,50,METROS,50
736,Si,FERNAN SANCHEZ,Fernan Sanchez,Madera,0, ,,2,METROS,20
736,Si,JABONCILLO,Jaboncillo,Madera,0, ,,30,METROS,30
739,Si,AGUACATE,Aguacate,Madera,35,METROS,350,, ,
744,Si,CEDRELA,Cedro/Cedrela,Madera,100,METROS,3000,, ,
745,Si,CEDRELA,Cedro/Cedrela,Madera,0, ,,320,METROS,960
753,Si,CEDRELA,Cedro/Cedrela,Madera,0, ,,30,METROS,210
